Year,Period,RainDta
2010,Q1,46.5
2010,Q2,162.77
2010,Q3,198.63
2010,Q4,25.17
2011,Q1,23.13
2011,Q2,210.3
2011,Q3,177.8
2011,Q4,97.1
2012,Q1,36.8
2012,Q2,196.93
2012,Q3,167.07
2012,Q4,91.2
2013,Q1,41.47
2013,Q2,169.27
2013,Q3,166.2
2013,Q4,71.57
2014,Q1,46.93
2014,Q2,152.7
2014,Q3,160.33
2014,Q4,50.7
2015,Q1,43.23
2015,Q2,146.93
2015,Q3,203.07
2015,Q4,89.6
2016,Q1,16.3
2016,Q2,158.17
2016,Q3,142.73
2016,Q4,102.67
2017,Q1,46.5
2017,Q2,224.5
2017,Q3,250.7
2017,Q4,73.03
2018,Q1,74.73
2018,Q2,257.0
2018,Q3,200.7
2018,Q4,109.67
2019,Q1,27.63
2019,Q2,117.4
2019,Q3,251.73
2019,Q4,110.63
2020,Q1,35.03
2020,Q2,124.13
2020,Q3,229.53
2020,Q4,129.03
2021,Q1,34.57
2021,Q2,125.07
2021,Q3,194.93
2021,Q4,140.37
2022,Q1,26.0
2022,Q2,99.83
2022,Q3,180.1
2022,Q4,136.63
2023,Q1,30.2
2023,Q2,94.83
2023,Q3,199.0
2023,Q4,171.17
